item_uid,bank_uid,p_vlm,p_pred_child,p_human,d_bank,d_bench,d_est,d_est_cv,d_est_p_only_cv,chance,anchor,tags,zipf,flag,transcript
vocab_word_cornbread,vocab__cornbread,1.0000,0.8170,0.7930,-2.662800,1.136252,-2.066469,-1.768678,-1.548764,0.2500,true,rare_vocab,2.720,CEILING,the cornbread
vocab_word_dumpling,vocab__dumpling,1.0000,0.8160,0.5490,-2.338600,0.606372,-2.034276,-1.983628,-1.602661,0.2500,true,rare_vocab,2.670,CEILING,the dumpling
vocab_word_elbow,vocab__elbow,1.0000,0.8560,0.8900,-2.268700,1.990077,-2.380075,-2.623134,-2.652966,0.2500,true,rare_vocab,3.840,CEILING,the elbow
vocab_word_fan,vocab__fan,1.0000,0.8560,0.9330,-4.050100,2.788454,-2.830806,-2.596035,-1.880668,0.2500,true,rare_vocab,4.920,CEILING,the fan
vocab_word_foam,vocab__foam,1.0000,0.8560,0.8970,-2.401400,1.697482,-2.355034,-2.295887,-1.885127,0.2500,true,rare_vocab,3.780,CEILING,the foam
vocab_word_footbath,vocab__footbath,1.0000,0.8000,0.9770,,2.154696,-1.257399,,,0.2500,false,rare_vocab,1.230,CEILING,the footbath
vocab_word_hamster,vocab__hamster,1.0000,0.8560,0.8920,-4.079800,2.116275,-2.158883,-1.956908,-1.815191,0.2500,true,rare_vocab,3.310,CEILING,the hamster
vocab_word_hedgehog,vocab__hedgehog,1.0000,0.8560,0.9850,,,-2.133842,,,0.2500,false,rare_vocab,3.250,CEILING,the hedgehog
vocab_word_hopscotch,vocab__hopscotch,1.0000,0.8110,0.6770,-2.723700,2.559914,-1.857231,-1.767508,-1.569265,0.2500,true,rare_vocab,2.380,CEILING,the hopscotch
vocab_word_latch,vocab__latch,1.0000,0.8560,0.6360,-1.855600,0.741252,-2.171403,-2.580518,-2.652966,0.2500,true,rare_vocab,3.340,CEILING,the latch
vocab_word_locker,vocab__locker,1.0000,0.8560,0.8710,-3.961100,3.136258,-2.425983,-2.326196,-1.880668,0.2500,true,rare_vocab,3.950,CEILING,the locker
vocab_word_lollipop,vocab__lollipop,1.0000,0.8560,0.9310,-5.608100,3.852974,-2.092108,-1.910078,-1.885127,0.2500,true,rare_vocab,3.150,CEILING,the lollipop
vocab_word_map,vocab__map,1.0000,0.8560,0.9260,-3.711100,2.876199,-2.764031,-2.829114,-1.815191,0.2500,true,rare_vocab,4.760,CEILING,the map
vocab_word_marshmallow,vocab__marshmallow,1.0000,0.8560,0.9730,,2.120148,-2.092108,,,0.2500,false,rare_vocab,3.150,CEILING,the marshmallow
vocab_word_net,vocab__net,1.0000,0.8560,0.9590,,,-2.764031,,,0.2500,false,rare_vocab,4.760,CEILING,the net
vocab_word_oil,vocab__oil,1.0000,0.8560,0.9640,,,-2.905928,,,0.2500,false,rare_vocab,5.100,CEILING,the oil
vocab_word_omelet,vocab__omelet,1.0000,0.8150,0.6060,-2.499200,1.213837,-2.006299,-1.950345,-1.595934,0.2500,true,rare_vocab,2.630,CEILING,the omelet
vocab_word_pie,vocab__pie,1.0000,0.8560,0.8960,,2.076227,-2.526145,,,0.2500,false,rare_vocab,4.190,CEILING,the pie
vocab_word_pitcher,vocab__pitcher,1.0000,0.8560,0.8660,-0.096600,-0.874250,-2.359208,-2.618872,-2.652966,0.2500,true,rare_vocab,3.790,CEILING,the pitcher
vocab_word_potato,vocab__potato,1.0000,0.8560,0.9700,,,-2.492758,,,0.2500,false,rare_vocab,4.110,CEILING,the potato
vocab_word_puddle,vocab__puddle,1.0000,0.8560,0.8870,-3.118600,1.235535,-2.138016,-2.134249,-1.880668,0.2500,true,rare_vocab,3.260,CEILING,the puddle
vocab_word_pump,vocab__pump,1.0000,0.8560,0.9480,-1.865600,1.424832,-2.563706,-2.602085,-1.885127,0.2500,true,rare_vocab,4.280,CEILING,the pump
vocab_word_rice,vocab__rice,1.0000,0.8560,0.9820,,,-2.676389,,,0.2500,false,rare_vocab,4.550,CEILING,the rice
vocab_word_saddle,vocab__saddle,1.0000,0.8560,0.9260,-2.482000,1.317678,-2.334167,-2.209547,-1.815191,0.2500,true,rare_vocab,3.730,CEILING,the saddle
vocab_word_sandbag,vocab__sandbag,1.0000,0.8120,0.9090,-1.916600,1.479938,-1.889221,-1.806200,-1.575897,0.2500,true,rare_vocab,2.430,CEILING,the sandbag
vocab_word_scaffolding,vocab__scaffolding,1.0000,0.8560,0.7210,-0.161800,-0.611488,-2.071241,-2.560062,-2.652966,0.2500,true,rare_vocab,3.100,CEILING,the scaffolding
vocab_word_scoop,vocab__scoop,1.0000,0.8560,0.9460,-1.075300,1.770256,-2.317473,-2.253868,-1.880668,0.2500,true,rare_vocab,3.690,CEILING,the scoop
vocab_word_seagull,vocab__seagull,1.0000,0.8560,0.8760,-3.040200,1.111044,-2.037853,-1.830467,-1.885127,0.2500,true,rare_vocab,3.020,CEILING,the seagull
vocab_word_ship,vocab__ship,1.0000,0.8560,0.7900,,1.188957,-2.834980,,,0.2500,false,rare_vocab,4.930,CEILING,the ship
vocab_word_shower,vocab__shower,1.0000,0.8560,0.9350,-4.175900,3.950138,-2.655522,-2.672719,-1.815191,0.2500,true,rare_vocab,4.500,CEILING,the shower
vocab_word_silverware,vocab__silverware,1.0000,0.8560,0.7980,-2.313600,0.995654,-2.062894,-1.961344,-1.895972,0.2500,true,rare_vocab,3.080,CEILING,the silverware
vocab_word_sink,vocab__sink,1.0000,0.8560,0.8940,,,-2.534492,,,0.2500,false,rare_vocab,4.210,CEILING,the sink
vocab_word_ski,vocab__ski,1.0000,0.8560,0.7760,-3.340400,2.072599,-2.501105,-2.647851,-2.652966,0.2500,true,rare_vocab,4.130,CEILING,the ski
vocab_word_sloth,vocab__sloth,1.0000,0.8560,0.9250,-3.040900,2.126161,-2.071241,-2.089739,-1.880668,0.2500,true,rare_vocab,3.100,CEILING,the sloth
vocab_word_snail,vocab__snail,1.0000,0.8560,0.9540,-2.634800,2.340997,-2.309126,-2.228524,-1.885127,0.2500,true,rare_vocab,3.670,CEILING,the snail
vocab_word_sprinkler,vocab__sprinkler,1.0000,0.8560,0.7600,-2.512500,0.676297,-2.050373,-1.800513,-1.815191,0.2500,true,rare_vocab,3.050,CEILING,the sprinkler
vocab_word_squirrel,vocab__squirrel,1.0000,0.8560,0.9810,,,-2.317473,,,0.2500,false,rare_vocab,3.690,CEILING,the squirrel
vocab_word_stew,vocab__stew,1.0000,0.8560,0.8370,-0.044600,-0.634275,-2.229831,-2.184020,-1.895972,0.2500,true,rare_vocab,3.480,CEILING,the stew
vocab_word_rubberband,vocab__rubberband,1.0000,0.8560,0.9400,,,-2.509452,,,0.2500,false,rare_vocab,4.150,CEILING,the rubber band
vocab_word_stump,vocab__stump,1.0000,0.8560,0.5710,-1.743700,0.839109,-2.217311,-2.589893,-2.652966,0.2500,true,rare_vocab,3.450,CEILING,the stump
vocab_word_sunflower,vocab__sunflower,1.0000,0.8560,0.9270,-4.155500,3.157223,-2.179750,-2.162067,-1.880668,0.2500,true,rare_vocab,3.360,CEILING,the sunflower
vocab_word_swordfish,vocab__swordfish,1.0000,0.8160,0.6500,-0.429100,-0.046741,-2.034276,-2.125871,-1.612400,0.2500,true,rare_vocab,2.670,CEILING,the swordfish
vocab_word_teabag,vocab__teabag,1.0000,0.8080,0.8630,,0.955745,-1.723930,,,0.2500,false,rare_vocab,2.140,CEILING,the teabag
vocab_word_telescope,vocab__telescope,1.0000,0.8560,0.8870,-3.363900,2.050671,-2.342514,-2.221578,-1.815191,0.2500,true,rare_vocab,3.750,CEILING,the telescope
vocab_word_thermos,vocab__thermos,1.0000,0.8150,0.9140,-0.426800,-0.095363,-2.014645,-1.961479,-1.595934,0.2500,true,rare_vocab,2.650,CEILING,the thermos
vocab_word_treasure,vocab__treasure,1.0000,0.8560,0.8310,-3.186600,1.794237,-2.517798,-2.651260,-2.652966,0.2500,true,rare_vocab,4.170,CEILING,the treasure
vocab_word_trumpet,vocab__trumpet,1.0000,0.8560,0.9770,,,-2.271566,,,0.2500,false,rare_vocab,3.580,CEILING,the trumpet
vocab_word_tulip,vocab__tulip,1.0000,0.8560,0.6480,-1.373600,-0.068521,-2.104628,-2.111994,-1.880668,0.2500,true,rare_vocab,3.180,CEILING,the tulip
vocab_word_turkey,vocab__turkey,1.0000,0.8560,0.8790,-4.434300,2.480302,-2.680562,-2.773555,-1.885127,0.2500,true,rare_vocab,4.560,CEILING,the turkey
vocab_word_turtle,vocab__turtle,1.0000,0.8560,0.9770,,,-2.409289,,,0.2500,false,rare_vocab,3.910,CEILING,the turtle
vocab_word_watermelon,vocab__watermelon,1.0000,0.8560,0.9830,,,-2.175576,,,0.2500,false,rare_vocab,3.350,CEILING,the watermelon
vocab_word_ant,vocab__ant,1.0000,0.8560,0.9830,,,-2.200617,,,0.2500,false,rare_vocab,3.410,CEILING,the ant
vocab_word_ball,vocab__ball,1.0000,0.8560,0.9360,-4.447400,4.657985,-2.200617,-2.017060,-1.815191,0.2500,true,rare_vocab,3.410,CEILING,the ball
vocab_word_bear,vocab__bear,1.0000,0.8560,0.9570,-4.513400,,-2.200617,-2.145052,-1.895972,0.2500,true,rare_vocab,3.410,CEILING,the bear
vocab_word_duck,vocab__duck,1.0000,0.8560,,,,-2.200617,,,0.2500,false,rare_vocab,3.410,CEILING,the duck
vocab_word_fork,vocab__fork,1.0000,0.8560,,,,-2.200617,,,0.2500,false,rare_vocab,3.410,CEILING,the fork
vocab_word_kitten,vocab__kitten,1.0000,0.8560,,,,-2.200617,,,0.2500,false,rare_vocab,3.410,CEILING,the kitten
vocab_word_knee,vocab__knee,1.0000,0.8560,,,,-2.200617,,,0.2500,false,rare_vocab,3.410,CEILING,the knee
vocab_word_milkshake,vocab__milkshake,1.0000,0.8560,,,,-2.200617,,,0.2500,false,rare_vocab,3.410,CEILING,the milkshake
vocab_word_skin,vocab__skin,1.0000,0.8560,,,,-2.200617,,,0.2500,false,rare_vocab,3.410,CEILING,the skin
vocab_word_wall,vocab__wall,1.0000,0.8560,,,,-2.200617,,,0.2500,false,rare_vocab,3.410,CEILING,the wall
vocab_word_wheel,vocab__wheel,1.0000,0.8560,,,,-2.200617,,,0.2500,false,rare_vocab,3.410,CEILING,the wheel
vocab_word_farm,vocab__farm,1.0000,0.8560,0.8520,,2.105561,-2.759858,,,0.2500,false,rare_vocab,4.750,CEILING,the farm
vocab_word_juggling,vocab__juggling,1.0000,0.8560,0.9590,,,-2.125495,,,0.2500,false,rare_vocab,3.230,CEILING,juggling
vocab_word_dressing,vocab__dressing,1.0000,0.8560,0.5800,-1.486700,-0.252869,-2.517798,-2.651260,-2.652966,0.2500,true,rare_vocab,4.170,CEILING,the dressing
vocab_word_roof,vocab__roof,1.0000,0.8560,0.9150,-3.260500,2.278317,-2.676389,-2.493106,-1.880668,0.2500,true,rare_vocab,4.550,CEILING,the roof
vocab_word_peeking,vocab__peeking,1.0000,0.8210,0.8150,-3.248700,1.982298,-2.212359,-2.355887,-1.644028,0.2500,true,rare_vocab,2.960,CEILING,peeking
vocab_word_ruler,vocab__ruler,1.0000,0.8560,0.9290,,0.452365,-2.380075,,,0.2500,false,rare_vocab,3.840,CEILING,the ruler
vocab_word_tunnel,vocab__tunnel,1.0000,0.8560,0.9390,,,-2.547012,,,0.2500,false,rare_vocab,4.240,CEILING,the tunnel
vocab_word_envelope,vocab__envelope,1.0000,0.8560,0.8470,-1.972500,1.580035,-2.388422,-2.287745,-1.815191,0.2500,true,rare_vocab,3.860,CEILING,the envelope
